
pin_name,function
CRBL_X1_Y4,uart_tx_o_io
CRBL_X1_Y3,uart_rx_i_io
CRBL_X2_Y3,flow_control_west_cts_o_io
CRBL_X2_Y2,flow_control_west_rts_o_io
CRBL_X1_Y2,uart_rts_no_io
CRBL_X3_Y3,flow_control_west_rts_i_io
CRBL_X4_Y4,NC
CRBL_X1_Y1,uart_cts_ni_io
CRBL_X2_Y4,flow_control_west_cts_i_io
CRBL_X4_Y2,south_test_being_requested_i_io
CRBL_X5_Y2,clk_obs_o_io
CRBL_X2_Y1,chip_id_i_io_7
CRBL_X3_Y1,chip_id_i_io_6
CRBL_X3_Y2,south_test_request_o_io
CRBL_X4_Y1,chip_id_i_io_5
CRBL_X5_Y1,chip_id_i_io_4
CRBL_X0_Y0,VDD_IO
CRBL_X0_Y4,VDD
CRBL_X0_Y1,VSS
CRBL_X0_Y3,VDD_D2D
CRBL_X3_Y0,VDD_IO
CRBL_X2_Y0,VSS
CRBL_X1_Y0,VDD
CRBL_X5_Y0,VDD
CRBL_X4_Y0,VDD_D2D
CRBL_X0_Y2,VDD_IO
CRBL_X3_Y4,NC
CRBL_X4_Y3,NC
CRBL_X5_Y4,NC
CRBL_X5_Y3,NC
CRBR_X3_Y2,gpio3_io
CRBR_X3_Y3,gpio2_io
CRBR_X3_Y4,gpio1_io
CRBR_X3_Y5,gpio0_io
CRBR_X2_Y3,flow_control_east_rts_i_io
CRBR_X1_Y4,NC
CRBR_X0_Y3,flow_control_south_cts_o_io
CRBR_X2_Y5,flow_control_east_cts_i_io
CRBR_X2_Y4,flow_control_east_rts_o_io
CRBR_X0_Y2,flow_control_south_rts_o_io
CRBR_X2_Y1,chip_id_i_io_1
CRBR_X1_Y2,flow_control_south_rts_i_io
CRBR_X1_Y1,chip_id_i_io_2
CRBR_X2_Y2,flow_control_south_cts_i_io
CRBR_X0_Y1,chip_id_i_io_3
CRBR_X3_Y1,chip_id_i_io_0
CRBR_X1_Y5,NC
CRBR_X4_Y0,VDD_IO
CRBR_X0_Y0,VDD
CRBR_X3_Y0,VSS
CRBR_X1_Y0,VDD_D2D
CRBR_X4_Y3,VDD_IO
CRBR_X4_Y2,VSS
CRBR_X4_Y1,VDD
CRBR_X4_Y5,VDD
CRBR_X4_Y4,VDD_D2D
CRBR_X2_Y0,VDD_IO
CRBR_X0_Y5,NC
CRBR_X0_Y4,NC
CRBR_X1_Y3,flow_control_east_cts_o_io
CRTL_X4_Y4,spim_csb_o_io
CRTL_X3_Y4,spim_sck_o_io
CRTL_X2_Y0,i2c_scl_io
CRTL_X2_Y1,i2c_sda_io
CRTL_X1_Y4,bypass_pll_division_i_io
CRTL_X1_Y3,clk_i_io
CRTL_X1_Y1,rst_ni_io
CRTL_X1_Y2,test_mode_i_io
CRTL_X1_Y0,rst_periph_ni_io
CRTL_X2_Y4,clk_periph_i_io
CRTL_X2_Y3,west_test_request_o_io
CRTL_X2_Y2,west_test_being_requested_i_io
CRTL_X3_Y3,north_test_being_requested_i_io
CRTL_X4_Y3,north_test_request_o_io
CRTL_X3_Y2,pll_rsv_0
CRTL_X4_Y2,pll_rsv_3
CRTL_X4_Y1,pll_rsv_4
CRTL_X3_Y1,pll_rsv_1
CRTL_X4_Y5,VDD
CRTL_X3_Y5,VDD_D2D
CRTL_X2_Y5,VDD_IO
CRTL_X1_Y5,VSS
CRTL_X0_Y5,VDD_IO
CRTL_X0_Y4,VDD
CRTL_X0_Y3,VSS
CRTL_X0_Y2,VDD_IO
CRTL_X0_Y1,VDD_D2D
CRTL_X0_Y0,VDD
CRTL_X3_Y0,pll_rsv_2
CRTL_X4_Y0,pll_rsv_5
CRTR_X2_Y3,spim_sd_io_2
CRTR_X1_Y3,spim_sd_io_1
CRTR_X0_Y3,spim_sd_io_0
CRTR_X1_Y2,flow_control_north_cts_o_io
CRTR_X2_Y2,flow_control_north_rts_i_io
CRTR_X3_Y2,flow_control_north_rts_o_io
CRTR_X0_Y1,NC
CRTR_X1_Y1,NC
CRTR_X3_Y0,east_test_being_requested_i_io
CRTR_X3_Y1,jtag_tdo_o
CRTR_X0_Y2,flow_control_north_cts_i_io
CRTR_X4_Y0,jtag_tdi_i_io
CRTR_X4_Y1,jtag_tms_i_io
CRTR_X4_Y2,jtag_tck_i_io
CRTR_X4_Y3,jtag_trst_ni_io
CRTR_X3_Y3,spim_sd_io_3
CRTR_X5_Y4,VDD_IO
CRTR_X4_Y4,VDD
CRTR_X3_Y4,VSS
