Layer,OX,OY,X,Y,Cout,Cin,FX,FY,stride_h,stride_w,pad_h,pad_w
ResNet.1,56,56,112,112,64,64,3,3,2,2,1,1
AlexNet.1.2,27,27,55,55,96,96,3,3,2,2,5,5
AlexNet.1.4,13,13,27,27,256,256,3,3,2,2,3,3
AlexNet.1.8,6,6,13,13,256,256,3,3,2,2,2,2
VGG19.1.3,112,112,224,224,64,64,2,2,2,2,0,0
VGG19.2.3,56,56,112,112,128,128,2,2,2,2,0,0
VGG19.3.3,28,28,56,56,256,256,2,2,2,2,4,4
VGG19.4.3,14,14,28,28,512,512,2,2,2,2,2,2
VGG19.5.3,7,7,14,14,512,512,2,2,2,2,1,1
GoogLeNet.2,56,56,112,112,64,64,3,3,2,2,1,1
GoogLeNet.4,28,28,56,56,192,192,3,3,2,2,5,5
GoogLeNet.7,14,14,28,28,480,480,3,3,2,2,3,3
GoogLeNet.13,7,7,14,14,832,832,3,3,2,2,2,2
YOLOv6.SPPF,20,20,20,20,1024,1024,5,5,1,1,0,0
